id_palavra;portugues;romaji;hiragana;katakana;num_silabas;;;
1;Doce;amai;あまい;アマイ;3;;;
2;Aquele/aquela;ano;あの;アノ;2;;;
3;Quente;atsui;あつい;アツイ;3;;;
4;Pequeno;chiisai;ちいさい;チイサイ;4;;;
5;Qual?;dono;どの;ドノ;2;;;
6;Aumentar, multiplicar;fueru;ふえる;フエル;3;;;
7;Velho, antigo;furui;ふるい;フルイ;3;;;
8;Grosso(diâmetro);futoi;ふとい;フトイ;3;;;
9;Engordar;futoru;ふとる;フトル;3;;;
10;Sim;hai;はい;ハイ;2;;;
11;Começar;hajimaru;はじまる;ハジマル;4;;;
12;Falar;hanasu;はなす;ハナス;3;;;
13;Correr;hashiru;はしる;ハシル;3;;;
14;Desviar;hazureru;はずれる;ハズレル;4;;;
15;Diminuir;heru;へる;ヘル;2;;;
16;Baixo;hikui;ひくい;ヒクイ;3;;;
17;Magro, fino, estreito;hosoi;ほそい;ホソイ;3;;;
18;Não;iie;いいえ;イイエ;3;;;
19;Necessidade, precisar;iru;いる;イル;2;;;
20;Doloroso;itai;いたい;イタイ;3;;;
21;Dizer;iu;いう;イウ;2;;;
22;Cheirar;kagu;かぐ;カグ;2;;;
23;Escrever;kaku;かく;カク;2;;;
24;Morder;kamu;かむ;カム;2;;;
25;Triste;kanashii;かなしい;カナシイ;4;;;
26;Picante;karai;からい;カライ;3;;;
27;Leve, insignificante;karui;かるい;カルイ;3;;;
28;Duro;katai;かたい;カタイ;3;;;
29;Endurecer, solidificar, tornar-se firme;katamaru;かたまる;カタマル;4;;;
30;Conversar, dizer;kataru;かたる;カタル;3;;;
31;Secar, secar-se;kawaku;かわく;カワク;3;;;
32;Coceira;kayumi;かゆみ;カユミ;3;;;
33;Mas;kedo;けど;ケド;2;;;
34;Chutar, recusar;keru;ける;ケル;2;;;
35;Decidir;kimeru;きめる;キメル;3;;;
36;Este/esta;kono;この;コノ;2;;;
37;Assustador;kowai;こわい;コワイ;3;;;
38;Fedorento;kusai;くさい;クサイ;3;;;
39;Ainda;mada;まだ;マダ;2;;;
40;Aumentar, crescer;masu;ます;マス;2;;;
41;Ruim(de sabor);mazui;まずい;マズイ;3;;;
42;Desordenar-se, ficar desarrumado.;midareru;みだれる;ミダレル;4;;;
43;Desarrumar, desordenar, perturbar;midasu;みだす;ミダス;3;;;
44;Ver;miru;みる;ミル;2;;;
45;“ter”, “possuir”;motsu;もつ;モツ;2;;;
46;Difícil;muzukashii;むずかしい;ムズカシイ;5;;;
47;Jogar;nageru;なげる;ナゲル;3;;;
48;Fixar, reparar, corrigir, curar;naosu;なおす;ナオス;3;;;
49;Queé porque, sendo porque;nazenara;なぜなら;ナゼナラ;4;;;
50;Ir deitar, ir para cama, dormir;neru;ねる;ネル;2;;;
51;Amargo;nigai;にがい;ニガイ;3;;;
52;Beber;nomu;のむ;ノム;2;;;
53;Dançar;odoru;おどる;オドル;3;;;
54;Delicioso;oishii;おいしい;オイシイ;4;;;
55;Grande;okii;おきい;オキイ;3;;;
56;Colocar;oku;おく;オク;2;;;
57;Pesado;omoi;おもい;オモイ;3;;;
58;Fim, “terminar”, “finalizar”;owaru;おわる;オワル;3;;;
59;Solitário;sabishii;さびしい;サビシイ;4;;;
60;Acordar, tornar-se sóbrio, ser desiludido;sameru;さめる;サメル;3;;;
61;Frio;samui;さむい;サムイ;3;;;
62;Cravar, enfiar, ligar, dar as mãos, verter;sasu;さす;サス;2;;;
63;Tocar, sentir;sawaru;さわる;サワル;3;;;
64;Muitas vezes;shibashiba;しばしば;シバシバ;4;;;
65;Mas, no entanto;shikashi;しかし;シカシ;3;;;
66;Salgado;shiokarai;しおからい;シオカライ;5;;;
67;Esse/essa;sono;その;ソノ;2;;;
68;Além, a isso, além disso;soreni;それに;ソレニ;3;;;
69;E, em seguida, então…;soshite;そして;ソシテ;3;;;
70;Maravilhoso;subarashii;すばらしい;スバラシイ;5;;;
71;Incrível;sugoi;すごい;スゴイ;3;;;
72;Se destacar, para superar;sugureru;すぐれる;スグレル;4;;;
73;Descartar, jogar fora;suteru;すてる;ステル;3;;;
74;Se sentar;suwaru;すわる;スワル;3;;;
75;Comer;taberu;たべる;タベル;3;;;
