id_char;romaji;hiragana;katakana;hiragana_image;katakana_image;atividade
1;a;あ;ア;a_h;a_k;1
2;e;え;エ;e_h;e_k;1
3;i;い;イ;i_h;i_k;1
4;o;お;オ;o_h;o_k;1
5;u;う;ウ;u_h;u_k;1
6;wa;わ;ハ;wa_h;wa_k;2
7;wo;を;ヲ;wo_h;wo_k;2
8;n;ん;ン;n_h;n_k;2
9;ya;や;ヤ;ya_h;ya_k;3
10;yu;ゆ;ユ;yu_h;yu_k;3
11;yo;よ;ヨ;yo_h;yo_k;3
12;ka;か;カ;ka_h;ka_k;4
13;ke;け;ケ;ke_h;ke_k;4
14;ki;き;キ;ki_h;ki_k;4
15;ko;こ;コ;ko_h;ko_k;4
16;ku;く;ク;ku_h;ku_k;4
17;sa;さ;サ;sa_h;sa_k;5
18;shi;し;シ;shi_h;shi_k;5
19;su;す;ス;su_h;su_k;5
20;se;せ;セ;se_h;se_k;5
21;so;そ;ソ;so_h;so_k;5
22;ta;た;タ;ta_h;ta_k;6
23;chi;ち;チ;chi_h;chi_k;6
24;tsu;つ;ツ;tsu_h;tsu_k;6
25;te;て;テ;te_h;te_k;6
26;to;と;ト;to_h;to_k;6
27;na;な;ナ;na_h;na_k;7
28;ni;に;ニ;ni_h;ni_k;7
29;nu;ぬ;ヌ;nu_h;nu_k;7
30;ne;ね;ネ;ne_h;ne_k;7
31;no;の;ノ;no_h;no_k;7
32;ha;は;ハ;ha_h;ha_k;8
33;he;へ;ヘ;he_h;he_k;8
34;hi;ひ;ヒ;hi_h;hi_k;8
35;ho;ほ;ホ;ho_h;ho_k;8
36;fu;ふ;フ;fu_h;fu_k;8
37;ma;ま;マ;ma_h;ma_k;9
38;me;め;メ;me_h;me_k;9
39;mi;み;ミ;mi_h;mi_k;9
40;mo;も;モ;mo_h;mo_k;9
41;mu;む;ム;mu_h;mu_k;9
42;ra;ら;ラ;ra_h;ra_k;10
43;re;れ;レ;re_h;re_k;10
44;ri;り;リ;ri_h;ri_k;10
45;ro;ろ;ロ;ro_h;ro_k;10
46;ru;る;ル;ru_h;ru_k;10
47;ga;が;ガ;ga_h;ga_k;11
48;ge;げ;ゲ;ge_h;ge_k;11
49;gi;ぎ;ギ;gi_h;gi_k;11
50;go;ご;ゴ;go_h;go_k;11
51;gu;ぐ;グ;gu_h;gu_k;11
52;za;ざ;ザ;za_h;za_k;12
53;ze;ぜ;ゼ;ze_h;ze_k;12
54;zi;じ;ジ;zi_h;zi_k;12
55;zo;ぞ;ゾ;zo_h;zo_k;12
56;zu;ず;ズ;zu_h;zu_k;12
57;da;だ;ダ;da_h;da_k;13
58;de;で;デ;de_h;de_k;13
59;di;ぢ;ヂ;di_h;di_k;13
60;do;ど;ド;do_h;do_k;13
61;du;づ;ヅ;du_h;du_k;13
62;ba;ば;バ;ba_h;ba_k;14
63;be;べ;ベ;be_h;be_k;14
64;bi;び;ビ;bi_h;bi_k;14
65;bo;ぼ;ボ;bo_h;bo_k;14
66;bu;ぶ;ブ;bu_h;bu_k;14
67;pa;ぱ;パ;pa_h;pa_k;15
68;pe;ぺ;ペ;pe_h;pe_k;15
69;pi;ぴ;ピ;pi_h;pi_k;15
70;po;ぽ;ポ;po_h;po_k;15
71;pu;ぷ;プ;pu_h;pu_k;15
72;kya;きゃ;キャ;kya_h;kya_k;16
73;kyo;きょ;キョ;kyo_h;kyo_k;16
74;kyu;きゅ;キュ;kyu_h;kyu_k;16
75;sha;しゃ;シャ;sha_h;sha_k;17
76;sho;しょ;ショ;sho_h;sho_k;17
77;shu;しゅ;シュ;shu_h;shu_k;17
78;cha;ちゃ;チャ;cha_h;cha_k;18
79;cho;ちょ;チョ;cho_h;cho_k;18
80;chu;ちゅ;チュ;chu_h;chu_k;18
81;nya;にゃ;ニャ;nya_h;nya_k;19
82;nyo;にょ;ニョ;nyo_h;nyo_k;19
83;nyu;にゅ;ニュ;nyu_h;nyu_k;19
84;hya;ひゃ;ヒャ;hya_h;hya_k;20
85;hyu;ひゅ;ヒュ;hyu_h;hyu_k;20
86;hyo;ひょ;ヒョ;hyo_h;hyo_k;20
87;mya;みゃ;ミャ;mya_h;mya_k;21
88;myo;みょ;ミョ;myo_h;myo_k;21
89;myu;みゅ;ミュ;myu_h;myu_k;21
90;rya;りゃ;リャ;rya_h;rya_k;22
91;ryo;りょ;リョ;ryo_h;ryo_k;22
92;ryu;りゅ;リュ;ryu_h;ryu_k;22
93;gya;ぎゃ;ギャ;gya_h;gya_k;23
94;gyo;ぎょ;ギョ;gyo_h;gyo_k;23
95;gyu;ぎゅ;ギュ;gyu_h;gyu_k;23
96;ja;じゃ;ジャ;ja_h;ja_k;24
97;jo;じょ;ジョ;jo_h;jo_k;24
98;ju;じゅ;ジュ;ju_h;ju_k;24
99;bya;びゃ;ビャ;bya_h;bya_k;25
100;byo;びょ;ビョ;byo_h;byo_k;25
101;byu;びゅ;ビュ;byu_h;byu_k;25
102;pya;ぴゃ;ピャ;pya_h;pya_k;26
103;pyo;ぴょ;ピョ;pyo_h;pyo_k;26
104;pyu;ぴゅ;ピュ;pyu_h;pyu_k;26
